[00:00:11] [Server thread/WARN]: A11y_UwU moved wrongly!
[00:04:33] [Server thread/WARN]: A11y_UwU moved too quickly! -3.699397040389231,8.867098785230667,15.431827979388544
[00:05:03] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/131118, l='ServerLevel[world]', x=-462.17, y=76.00, z=287.75]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Torch'/136796, l='ServerLevel[world]', x=-56.67, y=114.67, z=-279.26]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Torch'/136796, l='ServerLevel[world]', x=-56.67, y=114.67, z=-279.26]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136799, l='ServerLevel[world]', x=-58.55, y=113.56, z=-283.42]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136799, l='ServerLevel[world]', x=-58.55, y=113.56, z=-283.42]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136802, l='ServerLevel[world]', x=-63.69, y=117.48, z=-284.65]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136802, l='ServerLevel[world]', x=-63.69, y=117.48, z=-284.65]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136804, l='ServerLevel[world]', x=-60.73, y=119.70, z=-285.72]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136804, l='ServerLevel[world]', x=-60.73, y=119.70, z=-285.72]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136812, l='ServerLevel[world]', x=-61.36, y=118.38, z=-288.55]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136812, l='ServerLevel[world]', x=-61.36, y=118.38, z=-288.55]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Slime Block'/136813, l='ServerLevel[world]', x=-60.52, y=114.40, z=-292.41]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Slime Block'/136813, l='ServerLevel[world]', x=-60.52, y=114.40, z=-292.41]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136816, l='ServerLevel[world]', x=-63.29, y=115.39, z=-288.69]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136816, l='ServerLevel[world]', x=-63.29, y=115.39, z=-288.69]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Torch'/136817, l='ServerLevel[world]', x=-56.62, y=114.72, z=-289.56]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Torch'/136817, l='ServerLevel[world]', x=-56.62, y=114.72, z=-289.56]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136820, l='ServerLevel[world]', x=-59.69, y=121.58, z=-290.35]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136820, l='ServerLevel[world]', x=-59.69, y=121.58, z=-290.35]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136823, l='ServerLevel[world]', x=-60.65, y=112.40, z=-290.64]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136823, l='ServerLevel[world]', x=-60.65, y=112.40, z=-290.64]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136824, l='ServerLevel[world]', x=-61.44, y=121.69, z=-290.49]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136824, l='ServerLevel[world]', x=-61.44, y=121.69, z=-290.49]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136825, l='ServerLevel[world]', x=-62.58, y=116.50, z=-291.61]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136825, l='ServerLevel[world]', x=-62.58, y=116.50, z=-291.61]
[00:19:11] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136918, l='ServerLevel[world]', x=-64.38, y=121.28, z=-265.51]
[00:19:11] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136918, l='ServerLevel[world]', x=-64.38, y=121.28, z=-265.51]
[00:19:11] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136919, l='ServerLevel[world]', x=-58.39, y=112.49, z=-265.66]
[00:19:11] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136919, l='ServerLevel[world]', x=-58.39, y=112.49, z=-265.66]
[00:19:11] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136923, l='ServerLevel[world]', x=-64.60, y=117.42, z=-267.52]
[00:19:11] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136923, l='ServerLevel[world]', x=-64.60, y=117.42, z=-267.52]
[00:19:11] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136934, l='ServerLevel[world]', x=-60.36, y=122.45, z=-277.30]
[00:19:11] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136934, l='ServerLevel[world]', x=-60.36, y=122.45, z=-277.30]
[00:19:11] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136938, l='ServerLevel[world]', x=-64.65, y=121.38, z=-278.30]
[00:19:11] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136938, l='ServerLevel[world]', x=-64.65, y=121.38, z=-278.30]
[00:19:11] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136943, l='ServerLevel[world]', x=-61.68, y=122.43, z=-284.61]
[00:19:11] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136943, l='ServerLevel[world]', x=-61.68, y=122.43, z=-284.61]
[00:19:11] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136944, l='ServerLevel[world]', x=-64.73, y=119.50, z=-285.47]
[00:19:11] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136944, l='ServerLevel[world]', x=-64.73, y=119.50, z=-285.47]
[00:19:11] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136948, l='ServerLevel[world]', x=-64.56, y=119.68, z=-284.55]
[00:19:11] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136948, l='ServerLevel[world]', x=-64.56, y=119.68, z=-284.55]
[00:19:11] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136952, l='ServerLevel[world]', x=-57.72, y=112.46, z=-290.66]
[00:19:11] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136952, l='ServerLevel[world]', x=-57.72, y=112.46, z=-290.66]
[00:19:19] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137025, l='ServerLevel[world]', x=-63.54, y=122.44, z=-265.47]
[00:19:19] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137025, l='ServerLevel[world]', x=-63.54, y=122.44, z=-265.47]
[00:19:19] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137026, l='ServerLevel[world]', x=-65.28, y=120.55, z=-267.68]
[00:19:19] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137026, l='ServerLevel[world]', x=-65.28, y=120.55, z=-267.68]
[00:19:19] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137041, l='ServerLevel[world]', x=-64.45, y=121.51, z=-277.37]
[00:19:19] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137041, l='ServerLevel[world]', x=-64.45, y=121.51, z=-277.37]
[00:19:19] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137048, l='ServerLevel[world]', x=-65.63, y=114.70, z=-283.60]
[00:19:19] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137048, l='ServerLevel[world]', x=-65.63, y=114.70, z=-283.60]
[00:19:19] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137054, l='ServerLevel[world]', x=-65.34, y=119.39, z=-291.51]
[00:19:19] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137054, l='ServerLevel[world]', x=-65.34, y=119.39, z=-291.51]
[00:19:27] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137108, l='ServerLevel[world]', x=-67.55, y=117.55, z=-267.26]
[00:19:27] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137108, l='ServerLevel[world]', x=-67.55, y=117.55, z=-267.26]
[00:19:27] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137111, l='ServerLevel[world]', x=-66.50, y=116.51, z=-266.30]
[00:19:27] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137111, l='ServerLevel[world]', x=-66.50, y=116.51, z=-266.30]
[00:19:27] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137116, l='ServerLevel[world]', x=-66.57, y=121.75, z=-272.25]
[00:19:27] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137116, l='ServerLevel[world]', x=-66.57, y=121.75, z=-272.25]
[00:19:27] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137124, l='ServerLevel[world]', x=-66.48, y=114.64, z=-279.56]
[00:19:27] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137124, l='ServerLevel[world]', x=-66.48, y=114.64, z=-279.56]
[00:19:27] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137127, l='ServerLevel[world]', x=-66.73, y=120.52, z=-284.74]
[00:19:27] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137127, l='ServerLevel[world]', x=-66.73, y=120.52, z=-284.74]
[00:19:27] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137128, l='ServerLevel[world]', x=-66.26, y=115.43, z=-286.27]
[00:19:27] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137128, l='ServerLevel[world]', x=-66.26, y=115.43, z=-286.27]
[00:20:16] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137413, l='ServerLevel[world]', x=-67.65, y=115.39, z=-265.30]
[00:20:16] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137413, l='ServerLevel[world]', x=-67.65, y=115.39, z=-265.30]
[00:20:16] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137414, l='ServerLevel[world]', x=-67.43, y=119.68, z=-268.42]
[00:20:16] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137414, l='ServerLevel[world]', x=-67.43, y=119.68, z=-268.42]
[00:20:16] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137415, l='ServerLevel[world]', x=-67.31, y=115.57, z=-267.43]
[00:20:16] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137415, l='ServerLevel[world]', x=-67.31, y=115.57, z=-267.43]
[00:20:16] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137417, l='ServerLevel[world]', x=-67.69, y=114.56, z=-266.55]
[00:20:16] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137417, l='ServerLevel[world]', x=-67.69, y=114.56, z=-266.55]
[00:20:16] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137418, l='ServerLevel[world]', x=-65.42, y=112.63, z=-272.35]
[00:20:16] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137418, l='ServerLevel[world]', x=-65.42, y=112.63, z=-272.35]
[00:20:16] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137432, l='ServerLevel[world]', x=-68.70, y=117.51, z=-286.43]
[00:20:16] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137432, l='ServerLevel[world]', x=-68.70, y=117.51, z=-286.43]
[00:20:16] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137435, l='ServerLevel[world]', x=-67.50, y=119.48, z=-290.48]
[00:20:16] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137435, l='ServerLevel[world]', x=-67.50, y=119.48, z=-290.48]
[00:20:22] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137491, l='ServerLevel[world]', x=-68.57, y=118.36, z=-272.42]
[00:20:22] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137491, l='ServerLevel[world]', x=-68.57, y=118.36, z=-272.42]
[00:20:22] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137492, l='ServerLevel[world]', x=-69.68, y=115.29, z=-272.71]
[00:20:22] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137492, l='ServerLevel[world]', x=-69.68, y=115.29, z=-272.71]
[00:20:22] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137503, l='ServerLevel[world]', x=-68.50, y=119.71, z=-280.42]
[00:20:22] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137503, l='ServerLevel[world]', x=-68.50, y=119.71, z=-280.42]
[00:20:22] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137505, l='ServerLevel[world]', x=-69.46, y=117.66, z=-280.74]
[00:20:22] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137505, l='ServerLevel[world]', x=-69.46, y=117.66, z=-280.74]
[00:20:22] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137506, l='ServerLevel[world]', x=-68.36, y=118.69, z=-284.39]
[00:20:22] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137506, l='ServerLevel[world]', x=-68.36, y=118.69, z=-284.39]
[00:20:22] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137507, l='ServerLevel[world]', x=-68.52, y=116.68, z=-285.32]
[00:20:22] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137507, l='ServerLevel[world]', x=-68.52, y=116.68, z=-285.32]
[00:20:22] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137515, l='ServerLevel[world]', x=-67.56, y=122.34, z=-290.65]
[00:20:22] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137515, l='ServerLevel[world]', x=-67.56, y=122.34, z=-290.65]
[00:20:28] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137569, l='ServerLevel[world]', x=-69.65, y=118.27, z=-273.42]
[00:20:28] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137569, l='ServerLevel[world]', x=-69.65, y=118.27, z=-273.42]
[00:20:28] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137570, l='ServerLevel[world]', x=-69.28, y=121.44, z=-272.27]
[00:20:28] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137570, l='ServerLevel[world]', x=-69.28, y=121.44, z=-272.27]
[00:20:28] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137572, l='ServerLevel[world]', x=-69.71, y=119.72, z=-267.72]
[00:20:28] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137572, l='ServerLevel[world]', x=-69.71, y=119.72, z=-267.72]
[00:20:28] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137582, l='ServerLevel[world]', x=-65.73, y=111.44, z=-278.67]
[00:20:28] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137582, l='ServerLevel[world]', x=-65.73, y=111.44, z=-278.67]
[00:20:28] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137587, l='ServerLevel[world]', x=-66.34, y=112.37, z=-283.34]
[00:20:28] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137587, l='ServerLevel[world]', x=-66.34, y=112.37, z=-283.34]
[00:20:28] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137590, l='ServerLevel[world]', x=-69.34, y=120.35, z=-283.42]
[00:20:28] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137590, l='ServerLevel[world]', x=-69.34, y=120.35, z=-283.42]
[00:20:28] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137593, l='ServerLevel[world]', x=-70.73, y=115.56, z=-290.26]
[00:20:28] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137593, l='ServerLevel[world]', x=-70.73, y=115.56, z=-290.26]
[00:20:34] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137632, l='ServerLevel[world]', x=-69.44, y=121.73, z=-266.70]
[00:20:34] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137632, l='ServerLevel[world]', x=-69.44, y=121.73, z=-266.70]
[00:20:34] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137647, l='ServerLevel[world]', x=-71.32, y=116.28, z=-279.28]
[00:20:34] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137647, l='ServerLevel[world]', x=-71.32, y=116.28, z=-279.28]
[00:20:34] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137650, l='ServerLevel[world]', x=-70.39, y=118.26, z=-285.59]
[00:20:34] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137650, l='ServerLevel[world]', x=-70.39, y=118.26, z=-285.59]
[00:20:34] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137657, l='ServerLevel[world]', x=-70.71, y=114.39, z=-289.43]
[00:20:34] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/137657, l='ServerLevel[world]', x=-70.71, y=114.39, z=-289.43]
[00:20:47] [Server thread/INFO]: One lost connection: Killed
[00:20:47] [Server thread/INFO]: One left the game
[00:20:48] [Server thread/INFO]: A11y_UwU lost connection: Disconnected
[00:20:48] [Server thread/INFO]: A11y_UwU left the game
[00:28:48] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/139508, l='ServerLevel[world]', x=-463.82, y=61.00, z=361.45]
[00:30:53] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/139977, l='ServerLevel[world]', x=-461.31, y=76.00, z=287.77]
[00:30:53] [User Authenticator #22/INFO]: UUID of player A11y_UwU is cdf70681-d8c8-4cdb-9b1a-97a236ce8b1a
[00:30:53] [Server thread/INFO]: A11y_UwU[/127.0.0.1:56364] logged in with entity id 139986 at (-51.31000001192093, 118.0, -268.69999998807907)
[00:30:53] [Server thread/INFO]: A11y_UwU joined the game
[00:30:54] [Netty Server IO #5/INFO]: Player A11y_UwU joined with a matching carpet client
[00:31:29] [Server thread/WARN]: Fetching packet for removed entity class_1542['Nether Quartz'/140335, l='ServerLevel[world]', x=-70.57, y=113.71, z=-267.54]
[00:31:29] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/140336, l='ServerLevel[world]', x=-71.46, y=115.35, z=-264.74]
[00:31:29] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/140339, l='ServerLevel[world]', x=-71.37, y=118.34, z=-269.43]
[00:31:29] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/140349, l='ServerLevel[world]', x=-71.39, y=120.68, z=-278.70]
[00:31:29] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/140352, l='ServerLevel[world]', x=-72.29, y=119.63, z=-277.60]
[00:31:29] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/140353, l='ServerLevel[world]', x=-71.74, y=116.51, z=-276.63]
[00:31:29] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/140356, l='ServerLevel[world]', x=-72.41, y=117.69, z=-285.64]
[00:31:29] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/140360, l='ServerLevel[world]', x=-72.44, y=117.72, z=-291.32]
[00:31:29] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/140363, l='ServerLevel[world]', x=-72.36, y=119.59, z=-290.53]
[00:31:35] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/140403, l='ServerLevel[world]', x=-72.30, y=116.26, z=-273.55]
